epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.8183,1.65296,1.90202,1.45849,0.97551,0.95738,0.97947,0.82888,1.29829,0.90826,1.32472,0.00332011,0.00332011,0.00332011
2,84.0018,1.33553,0.86233,1.18695,0.98122,0.96717,0.98279,0.84563,1.17427,0.83772,1.18552,0.00663697,0.00663697,0.00663697
3,123.297,1.27439,0.84249,1.07992,0.97356,0.97698,0.98546,0.88444,1.02183,0.8727,1.00199,0.00993734,0.00993734,0.00993734
4,162.906,1.11465,0.77419,0.99386,0.99314,0.9897,0.99423,0.93576,0.76356,0.61432,0.92107,0.00992575,0.00992575,0.00992575
5,201.597,0.96552,0.6448,0.93837,0.99093,0.99715,0.99455,0.93255,0.70072,0.55162,0.8893,0.009901,0.009901,0.009901
6,240.216,0.87931,0.57957,0.9124,0.99678,0.99475,0.99491,0.92801,0.72765,0.51249,0.86451,0.00987625,0.00987625,0.00987625
7,278.802,0.81985,0.5386,0.89235,0.99491,0.99589,0.99489,0.94305,0.5723,0.4696,0.8343,0.0098515,0.0098515,0.0098515
8,317.643,0.76236,0.50092,0.8795,0.99671,0.9976,0.99486,0.9539,0.59547,0.43483,0.8188,0.00982675,0.00982675,0.00982675
9,356.897,0.73505,0.48303,0.87007,0.99736,0.99823,0.99495,0.96159,0.49677,0.39747,0.80942,0.009802,0.009802,0.009802
10,395.99,0.6941,0.45793,0.86106,0.99737,0.99776,0.99492,0.94295,0.49989,0.38719,0.80831,0.00977725,0.00977725,0.00977725
11,434.665,0.67457,0.44594,0.85211,0.99764,0.99769,0.99495,0.96208,0.49997,0.37645,0.79773,0.0097525,0.0097525,0.0097525
12,473.804,0.64961,0.4305,0.84808,0.99623,0.99716,0.99493,0.95944,0.52191,0.37209,0.80206,0.00972775,0.00972775,0.00972775
13,512.628,0.62493,0.41879,0.84425,0.9976,0.99796,0.99496,0.94769,0.49425,0.36246,0.79506,0.009703,0.009703,0.009703
